distortion,label,avg_iou,avg_f1,avg_precision,avg_recall,avg_pixel_acc
clean,Clean (no distortion),0.41473474702155927,0.5532549784471579,0.5738088536877147,0.5847314059695606,0.4312659863945578
noise_mild,Gaussian noise σ=15,0.4742557285527131,0.6149757250207201,0.6032918155329217,0.6680001888081712,0.4920676870748299
noise_strong,Gaussian noise σ=40,0.5414642703398654,0.6782427801601325,0.6326647737168748,0.7872714153161755,0.5525649659863946
blur_mild,Gaussian blur σ=1.5,0.39862465674060066,0.5363022709554868,0.5631047152275996,0.5471073174946387,0.42127414965986393
blur_strong,Gaussian blur σ=3.0,0.3885449438668269,0.5349670085812205,0.5699949915530339,0.5438317669399041,0.41264931972789115
dark_mild,Low brightness ×0.7,0.4238234568849987,0.5649548179091216,0.5808751405175933,0.6039971241430847,0.43990510204081634
dark_strong,Low brightness ×0.4,0.447538382524524,0.5915388893740319,0.5956189560656494,0.6442126988227197,0.4644486394557823
lowcontrast_mild,Low contrast ×0.7,0.41656971304902335,0.5516356829741181,0.5716295309322522,0.5786254128316506,0.43502857142857143
lowcontrast_strong,Low contrast ×0.4,0.42364039700053924,0.5594591041390872,0.5805990662244532,0.5939116311881799,0.44091462585034014
