distortion,label,avg_iou,avg_f1,avg_precision,avg_recall,avg_pixel_acc
clean,Clean (no distortion),0.8608101544757033,0.923129116799088,0.9042775834739178,0.946248956340203,0.9117387755102041
noise_mild,Gaussian noise σ=15,0.8376742368275097,0.9083355249572659,0.8736330754685517,0.9526515075286984,0.8920013605442176
noise_strong,Gaussian noise σ=40,0.7716017483366272,0.8624725622535274,0.7988531304575901,0.9580601794354014,0.826721768707483
blur_mild,Gaussian blur σ=1.5,0.8544708965260284,0.9192994236275795,0.9030602322505877,0.9400434961035076,0.9078585034013605
blur_strong,Gaussian blur σ=3.0,0.8326531644652285,0.9056992590194048,0.8957585052627147,0.9213544907028275,0.8942948979591837
dark_mild,Low brightness ×0.7,0.8061446741075563,0.8841313130398457,0.8192555440504139,0.9810594407830214,0.8506482993197279
dark_strong,Low brightness ×0.4,0.6971103612482187,0.80191167933519,0.7003725225666317,0.9939673414282392,0.7116642857142857
lowcontrast_mild,Low contrast ×0.7,0.8440899460311503,0.912592859151637,0.8973133054039796,0.9368254631196871,0.898645918367347
lowcontrast_strong,Low contrast ×0.4,0.7619798784688108,0.8526030435521289,0.8713122327050339,0.8809936771449471,0.840365306122449
