distortion,label,avg_iou,avg_f1,avg_precision,avg_recall,avg_pixel_acc
clean,Clean (no distortion),0.8739461939505696,0.93112812555086,0.9224783710762895,0.941474450821686,0.9227394557823129
noise_mild,Gaussian noise σ=15,0.8307413641406214,0.903324934176491,0.8574102101693766,0.9619172273299231,0.885915306122449
noise_strong,Gaussian noise σ=40,0.7284377798611555,0.8289874152359867,0.7408486416969603,0.975382963492036,0.7705085034013606
blur_mild,Gaussian blur σ=1.5,0.8636388981672024,0.9248895972690613,0.9405646436816318,0.9128752452883017,0.9185792517006803
blur_strong,Gaussian blur σ=3.0,0.8145882506277593,0.8931834814466756,0.9464901714100252,0.85513583633676,0.8921105442176871
dark_mild,Low brightness ×0.7,0.8443081375487266,0.9116004797596725,0.8730302195894297,0.9638220835011884,0.895262925170068
dark_strong,Low brightness ×0.4,0.739498059289524,0.8340979499619062,0.7451470852510949,0.9909426295475949,0.770243537414966
lowcontrast_mild,Low contrast ×0.7,0.8308571240294244,0.9022604720505527,0.9466346588886371,0.874336355658006,0.9026544217687075
lowcontrast_strong,Low contrast ×0.4,0.5964666212391994,0.6488177570870615,0.9650929966954234,0.6247564709373996,0.7948857142857143
