distortion,label,avg_iou,avg_f1,avg_precision,avg_recall,avg_pixel_acc
clean,Clean (no distortion),0.8499029138442842,0.9164423573577073,0.9146803309857933,0.9261368803685663,0.9067482993197279
noise_mild,Gaussian noise σ=15,0.7328920242997833,0.8315334951544487,0.7465302597640908,0.978548605760107,0.7688122448979592
noise_strong,Gaussian noise σ=40,0.6722367204843485,0.782520779747909,0.675692951154248,0.9928863356249548,0.6770829931972789
blur_mild,Gaussian blur σ=1.5,0.8381391545106878,0.9090911390683287,0.9466031910041687,0.8801356752695835,0.9047993197278912
blur_strong,Gaussian blur σ=3.0,0.7982839578546096,0.8822818130563822,0.9406337024648511,0.8410356369064644,0.8836731292517007
dark_mild,Low brightness ×0.7,0.8140781195370873,0.8903344283057576,0.8436292986796435,0.9632341714656262,0.8631183673469388
dark_strong,Low brightness ×0.4,0.722921105033248,0.8219166177380665,0.7272936530354931,0.9924794058679751,0.7479221088435374
lowcontrast_mild,Low contrast ×0.7,0.8196356931413104,0.8957512952982547,0.9507754133112325,0.8589240872679866,0.8977357142857143
lowcontrast_strong,Low contrast ×0.4,0.6480302931790071,0.7197869716098022,0.9464606312699534,0.694573123039944,0.8201176870748299
